"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ALN","American Lorain Corporation","0.71","27164237.9","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMS","American Shared Hospital Services","2.9001","15566713.0647","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
"ASRVP","AmeriServ Financial Inc.","26.73","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"AMPE","Ampio Pharmaceuticals, Inc.","0.7302","37982398.6464","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",
"IBUY","Amplify Online Retail ETF","27.05","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibuy",
"APHB","AmpliPhi Biosciences Corporation","1.17","13010860.98","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aphb",
"AFSS","AmTrust Financial Services, Inc.","25.8","0","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afss",
"AFST","AmTrust Financial Services, Inc.","26.41","0","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afst",
"AEUA","Anadarko Petroleum Corporation","42.93","0","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aeua",
"ANDAR","Andina Acquisition Corp. II","0.31","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andar",
"ANDAU","Andina Acquisition Corp. II","10.3","16995010.3","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corp. II","0.17","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andaw",
"ABAC","Aoxin Tianli Group, Inc.","2.7233","21753720.4","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac",
"AXN","Aoxing Pharmaceutical Company, Inc.","0.42","32007861.9","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn",
"AIB","Apollo Investment Corporation","25.46","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aib",
"AIY","Apollo Investment Corporation","26.62","0","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/aiy",
"ARCI","Appliance Recycling Centers of America, Inc.","0.99","5891309.82","n/a","n/a","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/arci",
"APDNW","Applied DNA Sciences Inc","0.89","0","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apdnw",
"APRI","Apricus Biosciences, Inc.","2.36","15658807.68","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apri",
"APVO","Aptevo Therapeutics Inc.","2.18","44101070.82","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apvo",
"APTO","Aptose Biosciences, Inc.","1.49","19422760.9","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/apto",
"ABRN","Arbor Realty Trust","25.6376","0","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/abrn",
"ABIO","ARCA biopharma, Inc.","2.4","21759235.2","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/abio",
"ACGLP","Arch Capital Group Ltd.","24.65","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acglp",
"ARU","Ares Capital Corporation","25.45","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aru",
"AGIIL","Argo Group International Holdings, Ltd.","25.69","0","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agiil",
"AIC","Arlington Asset Investment Corp","23.25","0","n/a","2015","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/aic",
"AIW","Arlington Asset Investment Corp","23.75","0","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/aiw",
"ARWAR","Arowana Inc.","0.2999","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/arwar",
"ARWAU","Arowana Inc.","10.48","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/arwau",
"ARWAW","Arowana Inc.","0.1479","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/arwaw",
"HRT","Arrhythmia Research Technology Inc.","4.2","11829883.8","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt",
"DWAT","Arrow DWA Tactical ETF","9.98","8982000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dwat",
"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","2.9","11916250.8","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artw",
"APWC","Asia Pacific Wire & Cable Corporation Limited","2.15","29712288.35","n/a","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/apwc",
"GRR","Asia Tigers Fund, Inc. (The)","9.74","33970081.12","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grr",
"ASTC","Astrotech Corporation","1.7","35303631.4","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/astc",
"ASUR","Asure Software Inc","6.66","43400529.36","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/asur",
"ATOS","Atossa Genetics Inc.","1.57","4141608.19","n/a","2012","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atos",
"EARS","Auris Medical Holding AG","1.07","36732783.28","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ears",
"AWX","Avalon Holdings Corporation","2.79","10611293.49","n/a","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"AVNW","Aviat Networks, Inc.","8.47","44561017.27","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/avnw",
"AVGR","Avinger, Inc.","3.68","47260366.88","n/a","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/avgr",
"AVIR","Aviragen Therapeutics, Inc.","1.27","49073418.49","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/avir",
"AHPAU","Avista Healthcare Public Acquisition Corp.","10.1","0","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/ahpau",
"AVV","Aviva plc","25.67","0","n/a","2011","Finance","Life Insurance","http://www.nasdaq.com/symbol/avv",
"AXARU","Axar Acquisition Corp.","9.92","0","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/axaru",
"AXARW","Axar Acquisition Corp.","0.067","0","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/axarw",
"AZRX","AzurRx BioPharma, Inc.","5","48155440","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/azrx",
"BOSC","B.O.S. Better Online Solutions","2.16","5748090.48","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bosc",
"BANFP","BancFirst Corporation","27.6468","27646800","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banfp",
"BCTF","Bancorp 34, Inc.","12.69","21312855","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bctf",
"TAPR","Barclays Inverse US Treasury Composite ETN","20.95","13862615","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/tapr",
"BHACR","Barington/Hilco Acquisition Corp.","0.15","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/bhacr",
"BHACU","Barington/Hilco Acquisition Corp.","10.3","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/bhacu",
"BHACW","Barington/Hilco Acquisition Corp.","0.07","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/bhacw",
"BRN","Barnwell Industries, Inc.","1.6","13243456","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"BAS","Basic Energy Services, Inc.","0.36","15393218.4","n/a","2005","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/bas",
"BEBE","bebe stores, inc.","0.5914","47336259.8194","n/a","1998","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/bebe",
"BLPH","Bellerophon Therapeutics, Inc.","1.25","18249117.5","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/blph",
"BNTC","Benitec Biopharma Limited","1.6","1928147.2","1205092","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bntc",
"BNTCW","Benitec Biopharma Limited","0.1031","0","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bntcw",
"BGCA","BGC Partners, Inc.","26.11","0","n/a","2012","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/bgca",
"BASI","Bioanalytical Systems, Inc.","0.8583","6958717.0314","n/a","1997","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/basi",
"ORPN","Bioblast Pharma Ltd.","1.54","25243325.8","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/orpn",
"BIOC","Biocept, Inc.","0.9379","7875050.1509","n/a","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/bioc",
"BIOD","Biodel Inc.","0.5798","37193167.5258","n/a","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/biod",
"BLFS","BioLife Solutions, Inc.","1.66","21386188.36","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/blfs",
"BMRA","Biomerica, Inc.","2.62","21443843.26","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bmra",
"BVXV","BiondVax Pharmaceuticals Ltd.","3.9","4750570.5","1218095","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bvxv",
"BVXVW","BiondVax Pharmaceuticals Ltd.","0.3825","0","n/a","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bvxvw",
"BPMX","BioPharmX Corporation","0.2749","8570167.4918","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bpmx",
"BBC","BioShares Biotechnology Clinical Trials Fund","18.8166","20698260","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bbc",
"BBP","BioShares Biotechnology Products Fund","29.2954","26365860","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bbp",
"BSTG","Biostage, Inc.","0.89","15226981.52","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bstg",
"BSPM","Biostar Pharmaceuticals, Inc.","3.55","7848741.15","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bspm",
"BGI","Birks Group Inc.","1.32","23708362.92","n/a","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/bgi",
"BKHU","Black Hills Corporation","67.27","0","n/a","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/bkhu",
"BZM","BlackRock Maryland Municipal Bond Trust","16.02","33268317.48","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/bzm",
"MHE","BlackRock Massachusetts Tax-Exempt Trust","14.03","33192230.12","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/mhe",
"BLJ","Blackrock New Jersey Municipal Bond Trust","16.384","38093422.592","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/blj",
"BQH","Blackrock New York Municipal Bond Trust","15.18","42505593.9","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/bqh",
"BHV","BlackRock Virginia Municipal Bond Trust","18.5799","29648113.6491","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/bhv",
"ADRA","BLDRS Asia 50 ADR Index Fund","28.2008","21150600","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adra",
"ADRU","BLDRS Europe 100 ADR Index Fund","18.9784","14233800","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adru",
"BDR","Blonder Tongue Laboratories, Inc.","0.55","4066269.35","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr",
